method,k,r,window,shift,initSubseq,ActSubSeq,Existence,Rrecall,Rprecision,f1Ex+Rpr,f1R+R,features,dataset,normalize
dyn,0,0,400,200,10,10,1,0.55,0.5,0.666666666666667,0.523809523809524,False,Yahoo_A2synthetic_1_data.out,False
dyn,0,0,400,200,10,10,1,0.523809523809524,1,1,0.6875,False,Yahoo_A2synthetic_2_data.out,False
dyn,0,0,400,200,10,10,1,0.526315789473684,0.25,0.4,0.338983050847458,False,Yahoo_A2synthetic_3_data.out,False
dyn,0,0,400,200,10,10,1,0.55,1,1,0.709677419354839,False,Yahoo_A2synthetic_4_data.out,False
dyn,0,0,400,200,10,10,0.666666666666667,0.317460317460317,0.5,0.571428571428571,0.388349514563107,False,Yahoo_A2synthetic_5_data.out,False
dyn,0,0,400,200,10,10,1,0.526315789473684,1,1,0.689655172413793,False,Yahoo_A2synthetic_6_data.out,False
dyn,0,0,400,200,10,10,1,0.55,1,1,0.709677419354839,False,Yahoo_A2synthetic_7_data.out,False
dyn,0,0,400,200,10,10,1,0.301587301587302,0.5,0.666666666666667,0.376237623762376,False,Yahoo_A2synthetic_8_data.out,False
dyn,0,0,400,200,10,10,1,0.526315789473684,0.5,0.666666666666667,0.512820512820513,False,Yahoo_A2synthetic_9_data.out,False
dyn,0,0,400,200,10,10,1,0.375,1,1,0.545454545454545,False,Yahoo_A2synthetic_10_data.out,False
dyn,0,0,400,200,10,10,1,0.571428571428571,1,1,0.727272727272727,False,Yahoo_A2synthetic_11_data.out,False
dyn,0,0,400,200,10,10,1,0.31578947368421,1,1,0.48,False,Yahoo_A2synthetic_12_data.out,False
dyn,0,0,400,200,10,10,1,0.55,1,1,0.709677419354839,False,Yahoo_A2synthetic_13_data.out,False
dyn,0,0,400,200,10,10,1,0.571428571428571,1,1,0.727272727272727,False,Yahoo_A2synthetic_14_data.out,False
dyn,0,0,400,200,10,10,1,0.526315789473684,1,1,0.689655172413793,False,Yahoo_A2synthetic_15_data.out,False
dyn,0,0,400,200,10,10,1,0.55,0.5,0.666666666666667,0.523809523809524,False,Yahoo_A2synthetic_16_data.out,False
dyn,0,0,400,200,10,10,0.666666666666667,0.285714285714286,1,0.8,0.444444444444444,False,Yahoo_A2synthetic_17_data.out,False
dyn,0,0,400,200,10,10,1,0.526315789473684,1,1,0.689655172413793,False,Yahoo_A2synthetic_18_data.out,False
dyn,0,0,400,200,10,10,1,0.375,1,1,0.545454545454545,False,Yahoo_A2synthetic_19_data.out,False
dyn,0,0,400,200,10,10,1,0.444444444444444,1,1,0.615384615384615,False,Yahoo_A2synthetic_20_data.out,False
dyn,0,0,400,200,10,10,1,0.526315789473684,0.142857142857143,0.25,0.224719101123595,False,Yahoo_A2synthetic_21_data.out,False
dyn,0,0,400,200,10,10,0.5,0.225,1,0.666666666666667,0.36734693877551,False,Yahoo_A2synthetic_22_data.out,False
dyn,0,0,400,200,10,10,1,0.571428571428571,0.75,0.857142857142857,0.648648648648649,False,Yahoo_A2synthetic_23_data.out,False
dyn,0,0,400,200,10,10,0,0,0,0,0,False,Yahoo_A2synthetic_24_data.out,False
dyn,0,0,400,200,10,10,1,0.55,1,1,0.709677419354839,False,Yahoo_A2synthetic_25_data.out,False
dyn,0,0,400,200,10,10,1,0.238095238095238,0.8,0.888888888888889,0.36697247706422,False,Yahoo_A2synthetic_26_data.out,False
dyn,0,0,400,200,10,10,1,0.526315789473684,1,1,0.689655172413793,False,Yahoo_A2synthetic_27_data.out,False
dyn,0,0,400,200,10,10,1,0.55,1,1,0.709677419354839,False,Yahoo_A2synthetic_28_data.out,False
dyn,0,0,400,200,10,10,1,0.46031746031746,1,1,0.630434782608696,False,Yahoo_A2synthetic_29_data.out,False
dyn,0,0,400,200,10,10,1,0.526315789473684,0.5,0.666666666666667,0.512820512820513,False,Yahoo_A2synthetic_30_data.out,False
dyn,0,0,400,200,10,10,1,0.5,1,1,0.666666666666667,False,Yahoo_A2synthetic_31_data.out,False
dyn,0,0,400,200,10,10,1,0.53968253968254,1,1,0.701030927835052,False,Yahoo_A2synthetic_32_data.out,False
dyn,0,0,400,200,10,10,0,1,0,0,0,False,Yahoo_A2synthetic_33_data.out,False
dyn,0,0,400,200,10,10,1,0.475,1,1,0.644067796610169,False,Yahoo_A2synthetic_34_data.out,False
dyn,0,0,400,200,10,10,1,0.571428571428571,1,1,0.727272727272727,False,Yahoo_A2synthetic_35_data.out,False
dyn,0,0,400,200,10,10,0,0,0,0,0,False,Yahoo_A2synthetic_36_data.out,False
dyn,0,0,400,200,10,10,1,0.55,0.5,0.666666666666667,0.523809523809524,False,Yahoo_A2synthetic_37_data.out,False
dyn,0,0,400,200,10,10,0.666666666666667,0.253968253968254,1,0.8,0.40506329113924,False,Yahoo_A2synthetic_38_data.out,False
dyn,0,0,400,200,10,10,1,0.526315789473684,1,1,0.689655172413793,False,Yahoo_A2synthetic_39_data.out,False
dyn,0,0,400,200,10,10,0.5,0.15,1,0.666666666666667,0.260869565217391,False,Yahoo_A2synthetic_40_data.out,False
dyn,0,0,400,200,10,10,1,0.571428571428571,1,1,0.727272727272727,False,Yahoo_A2synthetic_41_data.out,False
dyn,0,0,400,200,10,10,1,0.526315789473684,0.5,0.666666666666667,0.512820512820513,False,Yahoo_A2synthetic_42_data.out,False
dyn,0,0,400,200,10,10,1,0.55,1,1,0.709677419354839,False,Yahoo_A2synthetic_43_data.out,False
dyn,0,0,400,200,10,10,1,0.571428571428571,0.75,0.857142857142857,0.648648648648649,False,Yahoo_A2synthetic_44_data.out,False
