window,slide,k,r,sublength,features,normaliza,statictime,dyntime
100,50,40,0.3,50,False,False,5.251862287521362,20.441033840179443
200,100,40,0.3,2,False,False,7.295048952102661,35.025716066360474
200,100,40,0.3,10,False,False,7.5587358474731445,23.363044023513794
200,100,40,0.3,50,False,False,10.116437196731567,24.5822913646698
200,100,40,0.3,100,False,False,15.41940712928772,35.10559034347534
400,200,40,0.3,2,False,False,22.01372766494751,62.52407932281494
400,200,40,0.3,10,False,False,22.786907196044922,53.25469160079956
400,200,40,0.3,50,False,False,27.262818813323975,57.248847246170044
400,200,40,0.3,100,False,False,36.02446150779724,72.96570372581482
400,200,40,0.3,200,False,False,48.39174199104309,96.92150044441223
200,100,40,0.3,10,False,False,7.823800086975098,24.299359560012817
200,100,30,0.3,10,False,False,7.8055579662323,24.271374702453613
200,100,20,0.3,10,False,False,7.7876832485198975,24.202439069747925
200,100,10,0.3,10,False,False,7.795994520187378,24.16725492477417
200,100,5,0.3,10,False,False,7.8023457527160645,24.198063611984253
600,300,40,0.3,50,False,False,40.065306186676025,82.18164205551147
200,100,40,0.3,2,False,False,7.1186017990112305,33.95932197570801
200,100,40,0.3,2,False,False,1.1817004680633545,5.701066970825195
200,100,40,0.3,2,False,False,1.118570327758789,4.092288494110107
200,100,40,0.3,2,False,False,1.1002635955810547,4.076510667800903
200,100,40,0.3,2,False,False,1.1546320915222168,5.414538621902466
200,100,40,0.3,2,False,False,1.1358308792114258,5.316555738449097
200,100,40,0.3,2,False,False,1.1201074123382568,5.344679832458496
200,100,40,0.3,2,False,False,1.1397294998168945,5.274646282196045
200,100,40,0.3,2,False,False,1.158491611480713,4.1392903327941895
200,100,40,0.3,2,False,False,1.13885498046875,5.327500581741333
200,100,40,0.3,2,False,False,1.122666835784912,5.214982509613037
200,100,40,0.3,2,False,False,1.1163012981414795,5.470616579055786
200,100,40,0.3,2,False,False,1.1587402820587158,5.726699113845825
200,100,40,0.3,2,False,False,1.1794021129608154,4.183794975280762
200,100,40,0.3,2,False,False,1.2716670036315918,5.736153841018677
200,100,40,0.3,2,False,False,1.1900744438171387,4.516747236251831
200,100,40,0.3,2,False,False,1.2020831108093262,5.70969295501709
200,100,40,0.3,2,False,False,1.1081879138946533,4.8535988330841064
